"","logID","fightID","encounterID","size","Class","timestamp","type","sourceID","abilityGameID","hitType","hitType2","amount","unmitigatedAmount","amount_full","resisted","overkill","buffs"
"69","tDzK7FTJqW3LwAr4",3,637,10,"Enh Shaman",551148,"damage",7,67760,2,"Crit",3689,2113,3689,NA,NA,"55637.53817.54758.64772.29178.16280.53909."
"70","tDzK7FTJqW3LwAr4",3,637,10,"Enh Shaman",565116,"damage",7,67760,1,"Normal",2217,1962,2217,NA,NA,"53817.16246.29178.16280."
"71","tDzK7FTJqW3LwAr4",3,637,10,"Enh Shaman",571981,"damage",7,67760,2,"Crit",3912,2241,3912,NA,NA,"53817.60766.16280."
"72","tDzK7FTJqW3LwAr4",3,637,10,"Enh Shaman",581418,"damage",7,67760,2,"Crit",3422,1960,3422,NA,NA,"53817.16246.60766.29178.16280."
"73","tDzK7FTJqW3LwAr4",3,637,10,"Enh Shaman",596172,"damage",7,67760,1,"Normal",2493,2206,2493,NA,NA,"53817.64772."
"74","tDzK7FTJqW3LwAr4",3,637,10,"Enh Shaman",612769,"damage",7,67760,1,"Normal",2445,2164,2445,NA,NA,"55637.53817.60766.16280.59620."
"75","tDzK7FTJqW3LwAr4",3,637,10,"Enh Shaman",633195,"damage",7,67760,2,"Crit",3420,1959,3420,NA,NA,"53817.54758.53908.60766."
"76","tDzK7FTJqW3LwAr4",3,637,10,"Enh Shaman",656611,"damage",7,67760,1,"Normal",2103,2103,2103,NA,NA,"53817.60766.16280.59620."
"77","tDzK7FTJqW3LwAr4",4,641,10,"Enh Shaman",967172,"damage",7,67760,16,"Normal",3031,2980,3329,298,NA,"64772.55637.53817.60766.16280.53909."
"78","tDzK7FTJqW3LwAr4",4,641,10,"Enh Shaman",984594,"damage",7,67760,16,"Normal",3119,3067,3426,307,NA,"57623.32182.53817.16280."
"79","tDzK7FTJqW3LwAr4",4,641,10,"Enh Shaman",991728,"damage",7,67760,17,"Crit",1761,1121,1873,112,NA,"16246.32182.29178.53817.60766.16280."
"80","tDzK7FTJqW3LwAr4",4,641,10,"Enh Shaman",997851,"damage",7,67760,1,"Normal",3670,3247,3670,NA,NA,"54758.32182.29178.60766.59620."
"81","tDzK7FTJqW3LwAr4",4,641,10,"Enh Shaman",1005745,"damage",7,67760,2,"Crit",5374,3078,5374,NA,NA,"16246.32182.29178.53817.60766.16280.59620."
"82","tDzK7FTJqW3LwAr4",4,641,10,"Enh Shaman",1013285,"damage",7,67760,16,"Normal",3157,3105,3468,311,NA,"16246.64772.32182.29178.53817.60766.16280.59620."
"83","tDzK7FTJqW3LwAr4",4,641,10,"Enh Shaman",1022275,"damage",7,67760,1,"Normal",1175,1039,1175,NA,NA,"16246.32182.29178.53817.60766.16280."
"84","tDzK7FTJqW3LwAr4",4,641,10,"Enh Shaman",1029712,"damage",7,67760,17,"Crit",1715,1091,1824,109,NA,"16246.29178.55637.53817.16280.59620."
"85","tDzK7FTJqW3LwAr4",4,641,10,"Enh Shaman",1038454,"damage",7,67760,16,"Normal",3165,3112,3476,311,NA,"53908.16246.29178.55637.53817.16280.59620."
"86","tDzK7FTJqW3LwAr4",4,641,10,"Enh Shaman",1048074,"damage",7,67760,1,"Normal",3443,3046,3443,NA,NA,"53908.16246.29178.53817.60766.16280.59620."
"87","tDzK7FTJqW3LwAr4",4,641,10,"Enh Shaman",1059260,"damage",7,67760,2,"Crit",5761,3300,5761,NA,NA,"54758.16246.64772.29178.53817.60766.16280.59620."
"88","tDzK7FTJqW3LwAr4",4,641,10,"Enh Shaman",1066998,"damage",7,67760,16,"Normal",2742,3046,3047,305,NA,"16246.64772.29178.53817.16280.59620."
"89","tDzK7FTJqW3LwAr4",4,641,10,"Enh Shaman",1076742,"damage",7,67760,17,"Crit",4447,3184,5084,637,NA,"16246.29178.53817.16280."
"90","tDzK7FTJqW3LwAr4",5,645,10,"Enh Shaman",1469297,"damage",7,67760,16,"Normal",1763,1959,1959,196,NA,"54758.16246.29178.48934.53817.60766.16280.53909."
"91","tDzK7FTJqW3LwAr4",5,645,10,"Enh Shaman",1476358,"damage",7,67760,16,"Normal",1826,2029,2029,203,NA,"54758.16246.64772.29178.48934.53817.55637.60766.16280.53909."
"92","tDzK7FTJqW3LwAr4",5,645,10,"Enh Shaman",1484303,"damage",7,67760,2,"Crit",3148,2037,3148,NA,NA,"16246.29178.48934.53817.55637.16280.59620."
"93","tDzK7FTJqW3LwAr4",5,645,10,"Enh Shaman",1493509,"damage",7,67760,1,"Normal",1960,1960,1960,NA,NA,"16246.29178.48934.53817.16280."
"94","tDzK7FTJqW3LwAr4",5,645,10,"Enh Shaman",1501968,"damage",7,67760,17,"Crit",2880,2071,3087,207,NA,"29178.48934.53817.16280."
"95","tDzK7FTJqW3LwAr4",5,645,10,"Enh Shaman",1510427,"damage",7,67760,16,"Normal",1584,1980,1980,396,NA,"16246.29178.48934.53817.16280.59620."
"96","tDzK7FTJqW3LwAr4",5,645,10,"Enh Shaman",1521687,"damage",7,67760,1,"Normal",2270,2270,2270,NA,NA,"16246.64772.29178.48934.53817.60766.16280."
"97","tDzK7FTJqW3LwAr4",5,645,10,"Enh Shaman",1533253,"damage",7,67760,1,"Normal",1974,1974,1974,NA,NA,"54758.16246.29178.48934.53817.60766.16280.59620."
"98","tDzK7FTJqW3LwAr4",5,645,10,"Enh Shaman",1541905,"damage",7,67760,16,"Normal",1953,2170,2170,217,NA,"54758.16246.29178.48934.53817.55637.60766.16280."
"99","tDzK7FTJqW3LwAr4",5,645,10,"Enh Shaman",1563155,"damage",7,67760,2,"Crit",3143,2034,3143,NA,NA,"16246.29178.48934.16280."
"100","tDzK7FTJqW3LwAr4",5,645,10,"Enh Shaman",1624134,"damage",7,67760,16,"Normal",1959,2177,2177,218,NA,"54758.16246.29178.48934.55637.60766.16280."
